                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0806,                 8.5581,                 3.2674,                0.18071,                0.11512,                 0.0628,                0.02229,                 3.6426,                 18.394,                 4.0846,             0.00066044,             0.00066044,             0.00066044
                      2,                 3.3076,                 5.2238,                 3.4532,                0.41163,                0.32754,                0.34419,                0.13093,                 4.0116,                  5.427,                 4.0488,               0.001314,               0.001314,               0.001314
                      3,                  3.301,                 3.9187,                  3.468,                0.39238,                0.41522,                0.34161,                0.10959,                  4.394,                 6.0932,                 4.3227,              0.0019543,              0.0019543,              0.0019543
                      4,                  3.291,                 3.4542,                 3.4293,                0.32469,                0.25412,                0.21465,                0.07925,                 4.2817,                 6.6624,                 4.3141,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.2198,                 3.1774,                 3.4065,                0.57489,                0.55087,                0.54634,                0.18023,                  4.449,                  3.264,                 4.6149,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.1705,                 2.9841,                 3.3716,                0.26379,                 0.1555,                 0.0993,                0.03823,                 4.6703,                 7.7625,                 4.7444,               0.001901,               0.001901,               0.001901
                      7,                 3.0527,                 2.8164,                 3.3027,                0.49389,                0.30995,                0.30809,                 0.1215,                 4.1172,                 5.9328,                 4.4169,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.0424,                 2.7258,                 3.2548,                0.62957,                0.57637,                0.59674,                0.22383,                 4.2992,                 3.3027,                 4.2763,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.9619,                 2.5922,                 3.2128,                0.50595,                  0.443,                0.49137,                0.25766,                 3.4003,                 3.2569,                 3.6776,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.9163,                  2.521,                 3.1724,                0.67573,                0.67659,                0.74823,                0.29164,                 4.2485,                 2.4844,                  4.276,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.8728,                 2.4481,                 3.1211,                0.68369,                0.41439,                0.51647,                0.24862,                 4.0568,                   3.52,                 4.1239,               0.001802,               0.001802,               0.001802
                     12,                 2.8402,                 2.3825,                 3.0856,                0.76014,                0.61373,                0.68807,                0.28991,                 4.0836,                   2.96,                   4.16,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.7825,                  2.299,                 3.0778,                0.79348,                0.60629,                0.69496,                0.32984,                 3.7455,                 2.5036,                 3.8127,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.7891,                 2.2331,                 3.0607,                0.71255,                0.47146,                0.55903,                0.23956,                 4.0614,                 3.5906,                 4.1313,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.7538,                 2.1803,                 3.0192,                0.65172,                0.53102,                0.60898,                 0.2659,                 3.9549,                 3.4486,                 4.1191,              0.0017228,              0.0017228,              0.0017228
